seqlen_q,batch_size,seqlen_k,split_kv,standard_ms,localized_ms,speedup,owner_work_counts,owner_tile_counts,resident_partition_clusters,correctness
1,4,262144,18,0.26531198620796204,0.3675999939441681,0.7217409972217198,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,262144,9,0.5273600220680237,0.7065280079841614,0.7464106392224522,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,262144,4,1.109984040260315,1.0302079916000366,1.0774368373287189,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,262144,2,2.251303970813751,2.0654879808425903,1.0899622712378891,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,262144,1,4.490256071090698,4.1635438203811646,1.0784697519238848,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,524288,32,0.27854400873184204,0.2616560012102127,1.0645427868786455,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,524288,18,0.5279359817504883,0.7035039961338043,0.7504377866392055,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,524288,9,1.083679974079132,1.395680010318756,0.7764530308287735,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,524288,4,2.2477920055389404,2.0614559650421143,1.0903905024684917,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,524288,2,4.501535892486572,4.172104001045227,1.0789606134839431,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,524288,1,9.118720054626465,8.291375637054443,1.0997837335790928,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,2,1048576,32,0.54995197057724,0.5120720118284225,1.073973890144009,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,4,1048576,18,1.0855680108070374,1.3874240517616272,0.782434187607372,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,8,1048576,9,2.1872159242630005,2.7938559651374817,0.7828663866554663,"[36, 36]","[36, 36]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,16,1048576,4,4.490504026412964,4.1324639320373535,1.086640827424982,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,32,1048576,2,9.045552015304565,8.302696228027344,1.089471632693193,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
1,64,1048576,1,18.174943923950195,16.54469633102417,1.0985359634476355,"[32, 32]","[32, 32]","[35, 39]","{'output_exact': True, 'lse_exact': True, 'output_max_abs': 0.0, 'lse_max_abs': 0.0}"
