sq,batch,sk,kv_bytes,compact_physical_span,baseline_ms,schedule_only_ms,compact_ms,compact_vs_baseline,schedule_vs_baseline,compact_vs_schedule
1,64,16384,1207959552,1207959552,0.5856319963932037,0.5719519853591919,0.5714400112628937,1.0248354767789982,1.0239181109327222,1.0008959367321282
1,64,32768,2415919104,2415919104,1.1870560050010681,1.1374079585075378,1.1412799954414368,1.0401093594406916,1.0436501662593223,0.9966072857236044
1,64,65536,4831838208,4831838208,2.3893920183181763,2.2801599502563477,2.305567979812622,1.036357218368537,1.0479054410413393,0.9889797092175354
1,64,131072,9663676416,9663676416,4.73471999168396,4.549407958984375,4.590191841125488,1.0314862985166724,1.0407332194365253,0.9911149939800526
1,64,262144,19327352832,19327352832,9.57428789138794,9.104383945465088,9.182415962219238,1.0426763425639882,1.0516129316093827,0.9915020167812904
1,64,524288,38654705664,38654705664,19.342880249023438,18.177591800689697,18.42398452758789,1.04987497248815,1.064105766105361,0.9866265233489939
1,64,932032,68716855296,68716855296,34.07508659362793,32.430463790893555,32.570223808288574,1.0462036366159815,1.0507122813086682,0.9957089635546362
4,2,512,1179648,1179648,0.014128000009804964,0.014399999752640724,0.015135999768972397,0.9334038203915838,0.981111128645271,0.9513742053669679
4,2,1024,2359296,2359296,0.015936000272631645,0.01640000008046627,0.016976000741124153,0.9387370156050289,0.971707328929389,0.9660697080872217
4,2,2048,4718592,4718592,0.01692800037562847,0.017503999173641205,0.018144000321626663,0.9329806038115649,0.967093302947585,0.9647265687477633
4,2,4096,9437184,9437184,0.024032000452280045,0.024383999407291412,0.025232000276446342,0.9524413518144069,0.9855643469665558,0.9663918492444483
4,2,8192,18874368,18874368,0.03776000067591667,0.03832000121474266,0.0398080013692379,0.9485530390153211,0.985386207696399,0.9626205761828297
4,2,16384,37748736,37748736,0.06540799885988235,0.0660959966480732,0.0692639984190464,0.9443289494228257,0.9895909310233406,0.9542619276495297
4,2,32768,75497472,75497472,0.12539200484752655,0.12592000514268875,0.131632000207901,0.9525951489719906,0.995806859326571,0.9566063338991229
4,2,65536,150994944,150994944,0.252591997385025,0.25144800543785095,0.2618879973888397,0.9645039096999455,1.0045496163120564,0.9601356608356207
4,2,131072,301989888,301989888,0.5555679798126221,0.5440479815006256,0.5663999915122986,0.9808756852718962,1.021174599858309,0.9605367048964942
4,2,262144,603979776,603979776,1.1437600255012512,1.1217600107192993,1.1662160158157349,0.9807445704655529,1.0196120512157008,0.9618801281293159
4,2,524288,1207959552,1207959552,2.3162880539894104,2.274176001548767,2.365391969680786,0.9792406855520007,1.0185174992665318,0.9614372715806891
4,2,932032,2147401728,2147401728,4.155776023864746,4.082248091697693,4.22599196434021,0.9833847434950278,1.0180116275433115,0.9659857676362242
4,4,512,2359296,2359296,0.01643200032413006,0.016767999157309532,0.01724799908697605,0.9526902361989251,0.9799619006401843,0.9721706890610304
4,4,1024,4718592,4718592,0.01744000054895878,0.017967999912798405,0.018751999363303185,0.9300341905454664,0.9706144609081649,0.9581911541635911
4,4,2048,9437184,9437184,0.024320000782608986,0.024768000468611717,0.025760000571608543,0.9440993883134204,0.9819121577226035,0.9614906800860027
4,4,4096,18874368,18874368,0.03807999938726425,0.03855999931693077,0.039792001247406006,0.95697623124061,0.9875518688234063,0.9690389552710534
4,4,8192,37748736,37748736,0.06576000154018402,0.0660799965262413,0.06932799890637398,0.9485345398327671,0.9951574606101832,0.9531502072558155
