seqlen_q,batch_size,seqlen_k,standard_ncu_duration_ns,localized_ncu_duration_ns,standard_l2_hit_rate_pct,localized_l2_hit_rate_pct,localized_minus_standard_l2_hit_rate_pp,standard_l2_count_hit_rate_pct,localized_l2_count_hit_rate_pct,standard_hbm_read_bytes,standard_hbm_write_bytes,localized_hbm_read_bytes,localized_hbm_write_bytes,standard_hbm_total_gb_s,localized_hbm_total_gb_s,localized_to_standard_hbm_bandwidth_ratio,standard_hbm_utilization_pct,localized_hbm_utilization_pct,localized_minus_standard_hbm_utilization_pp,localized_to_standard_hbm_total_bytes_ratio,standard_to_localized_ncu_duration_ratio,standard_replay_passes,localized_replay_passes
1,8,32768,64544.0,65312.0,38.91,48.6,9.690000000000005,38.958462117761236,48.64857100632208,303616000.0,3757312.0,303368192.0,3816704.0,4762.22905304909,4703.3454189123,0.9876352788828818,62.11,61.36,-0.75,0.9993870124937848,0.9882410583047526,4,4
1,16,32768,120352.0,117216.0,37.73,47.8,10.07,37.868094842932564,47.80052578045918,606493184.0,3698688.0,606499072.0,3664896.0,5070.06009040149,5205.46655746656,1.0267070734174173,66.1,67.89,1.7900000000000063,0.9999542701217757,1.0267540267540267,4,4
1,32,32768,231552.0,218464.0,37.14,47.32,10.18,37.31381942200775,47.314038821012545,1213153024.0,3701504.0,1212895232.0,3877632.0,5255.21061359867,5569.6721839754,1.0598380528390265,68.51,72.61,4.099999999999994,0.9999328892664481,1.059909184121869,4,4
1,64,32768,463040.0,426560.0,37.06,46.97,9.909999999999997,37.15924702928007,46.97009378198683,2425911040.0,4017152.0,2425686272.0,3582464.0,5247.771665514861,5695.022355588901,1.085226781685853,68.4,74.23,5.829999999999998,0.999728610910326,1.0855213803450863,4,4
1,2,65536,39968.0,40800.0,40.51,49.95,9.440000000000005,40.4689538414123,49.97472238097177,151400704.0,3577856.0,151414016.0,3461888.0,3877.56605284227,3795.9780392156804,0.9789589622678935,50.61,49.53,-1.0799999999999983,0.9993376116025339,0.9796078431372549,4,4
1,4,65536,64224.0,64992.0,39.01,48.87,9.86,39.08175401866494,48.78388924393689,302770688.0,3973376.0,302720256.0,3965440.0,4776.15944195316,4718.822255046771,0.9879951271302321,62.31,61.56,-0.75,0.9998097175891886,0.9881831610044313,4,4
1,8,65536,113056.0,112736.0,37.93,47.88,9.950000000000003,38.059529081010474,47.88833883598619,605976576.0,3498496.0,605329664.0,3380224.0,5390.9131050099,5399.42776043145,1.001579445866719,70.28,70.4,0.12000000000000455,0.9987445196117881,1.0028384899233607,4,4
1,16,65536,232288.0,218528.0,37.18,47.43,10.25,37.371286340302426,47.43500843342237,1211449088.0,3683584.0,1210545408.0,3691008.0,5231.14698994352,5556.43403133695,1.0621827377473372,68.19,72.43,4.240000000000009,0.9992624212806945,1.0629667594084053,4,4
1,32,65536,463840.0,428352.0,37.2,47.19,9.989999999999995,37.30719082041433,47.18775084779529,2421549824.0,4111360.0,2420939520.0,3851008.0,5229.521352190409,5660.74286568056,1.082459078842757,68.17,73.79,5.6200000000000045,0.9996410644628595,1.082847751382041,4,4
1,64,65536,947328.0,863936.0,37.13,47.01,9.879999999999995,37.18088735130655,47.01423065420464,4841959168.0,5415936.0,4842296576.0,3794688.0,5116.892041616,5609.31743092081,1.0962352508710138,66.7,73.11,6.409999999999997,0.9997351473792608,1.096525668568042,4,4
1,2,131072,67168.0,66304.0,38.82,48.47,9.649999999999999,38.91229684287464,48.5306651717726,302399488.0,3245568.0,302411520.0,3693824.0,4550.45640781325,4616.69498069498,1.0145564679551695,59.36,60.22,0.8599999999999994,1.0015059559805215,1.013030888030888,4,4
1,4,131072,114496.0,111360.0,37.79,47.93,10.14,37.96067296395034,47.92692562521392,606749696.0,3197184.0,604741376.0,3685376.0,5327.23309111236,5463.602298850569,1.0255985059046355,69.45,71.24,1.789999999999992,0.9975077698569423,1.02816091954023,4,4
1,8,131072,217696.0,206528.0,37.4,47.47,10.07,37.5724660144262,47.48287738676047,1210073856.0,3437568.0,1209375232.0,3578880.0,5574.339556078199,5873.073442826149,1.0535909023378769,72.67,76.57,3.8999999999999915,0.9995407443317155,1.0540749922528665,4,4
1,16,131072,463232.0,427712.0,37.26,47.24,9.980000000000004,37.33994310054138,47.24958171098987,2419231232.0,4050944.0,2418579712.0,3881984.0,5231.24951644101,5663.76836749963,1.0826798358019971,68.19,73.83,5.640000000000001,0.9996614178868124,1.0830465359868322,4,4
1,32,131072,948448.0,863744.0,37.2,47.12,9.919999999999995,37.252283204406375,47.119011320093705,4837824256.0,8635648.0,4836999680.0,3864064.0,5109.884678970269,5604.5121517486605,1.0967981674447627,66.6,73.05,6.450000000000003,0.9988453097496213,1.09806609365738,4,4
1,64,131072,1948352.0,1765728.0,37.15,47.04,9.89,37.166333381413246,47.03433622990286,9674352640.0,7820800.0,9673875456.0,5291264.0,4969.41694313964,5481.686148716,1.1030843681336813,64.77,71.45,6.680000000000007,0.9996894581553788,1.1034270283984848,4,4
