batch_size,seqlen_q,seqlen_k,standard_ms,localized_ms,speedup,kv_gib_per_layout,owner_batch_counts,owner_tile_counts,owner_wave_counts,localized_theoretical_active_cluster_fraction
32,2,1008576,16.115904331207275,15.409535884857178,1.0458396963820462,34.626708984375,"[16, 16]","[32, 32]","[1, 1]",0.8648648648648649
16,2,1008576,11.380120038986206,10.333136081695557,1.1013229622655711,17.3133544921875,"[8, 8]","[16, 16]","[1, 1]",0.43243243243243246
8,2,1008576,10.49504041671753,9.549456119537354,1.0990197017865335,8.65667724609375,"[4, 4]","[8, 8]","[1, 1]",0.21621621621621623
4,2,1008576,10.44375991821289,9.50230360031128,1.099076640518071,4.328338623046875,"[2, 2]","[4, 4]","[1, 1]",0.10810810810810811
2,2,1008576,10.479616165161133,9.49233627319336,1.1040081033323568,2.1641693115234375,"[1, 1]","[2, 2]","[1, 1]",0.05405405405405406
2,4,512,0.018463999964296818,0.018271999433636665,1.0105079102786476,0.0010986328125,"[1, 1]","[4, 4]","[1, 1]",0.10810810810810811
4,4,512,0.018432000651955605,0.018271999433636665,1.0087566343738166,0.002197265625,"[2, 2]","[8, 8]","[1, 1]",0.21621621621621623
8,4,512,0.018463999964296818,0.01833599992096424,1.0069808051856626,0.00439453125,"[4, 4]","[16, 16]","[1, 1]",0.43243243243243246
16,4,512,0.02051199972629547,0.022336000576615334,0.9183380729211881,0.0087890625,"[8, 8]","[32, 32]","[1, 1]",0.8648648648648649
32,4,512,0.0307839997112751,0.030559999868273735,1.007329837826142,0.017578125,"[16, 16]","[64, 64]","[2, 2]",1.0
64,4,512,0.04918399825692177,0.04899200052022934,1.0039189609457395,0.03515625,"[32, 32]","[128, 128]","[4, 4]",1.0
2,4,4096,0.05532800033688545,0.05111999996006489,1.0823161263714371,0.0087890625,"[1, 1]","[4, 4]","[1, 1]",0.10810810810810811
4,4,4096,0.057360000908374786,0.05310399830341339,1.080144673488509,0.017578125,"[2, 2]","[8, 8]","[1, 1]",0.21621621621621623
8,4,4096,0.05943999998271465,0.05683200154453516,1.0458896109111306,0.03515625,"[4, 4]","[16, 16]","[1, 1]",0.43243243243243246
16,4,4096,0.07064000144600868,0.06438399851322174,1.0971670458072316,0.0703125,"[8, 8]","[32, 32]","[1, 1]",0.8648648648648649
32,4,4096,0.1321600005030632,0.12432000041007996,1.063063063602979,0.140625,"[16, 16]","[64, 64]","[2, 2]",1.0
64,4,4096,0.25513599812984467,0.244719997048378,1.042562933994346,0.28125,"[32, 32]","[128, 128]","[4, 4]",1.0
2,4,32768,0.3624959886074066,0.3296799957752228,1.0995389263913906,0.0703125,"[1, 1]","[4, 4]","[1, 1]",0.10810810810810811
4,4,32768,0.3630719929933548,0.33369600772857666,1.0880321747471193,0.140625,"[2, 2]","[8, 8]","[1, 1]",0.21621621621621623
8,4,32768,0.36553600430488586,0.33428800106048584,1.0934762933317073,0.28125,"[4, 4]","[16, 16]","[1, 1]",0.43243243243243246
16,4,32768,0.47919999063014984,0.4463919997215271,1.0734959204669647,0.5625,"[8, 8]","[32, 32]","[1, 1]",0.8648648648648649
32,4,32768,0.947720006108284,0.8978559970855713,1.0555367555427269,1.125,"[16, 16]","[64, 64]","[2, 2]",1.0
64,4,32768,1.9292719662189484,1.8000960052013397,1.0717605953484466,2.25,"[32, 32]","[128, 128]","[4, 4]",1.0
2,4,131072,1.376807987689972,1.262399971485138,1.0906273913094593,0.28125,"[1, 1]","[4, 4]","[1, 1]",0.10810810810810811
4,4,131072,1.373248040676117,1.2564319968223572,1.0929744261123557,0.5625,"[2, 2]","[8, 8]","[1, 1]",0.21621621621621623
8,4,131072,1.4127039909362793,1.2947919964790344,1.0910663602940753,1.125,"[4, 4]","[16, 16]","[1, 1]",0.43243243243243246
16,4,131072,1.854783982038498,1.7772639989852905,1.0436175959775624,2.25,"[8, 8]","[32, 32]","[1, 1]",0.8648648648648649
32,4,131072,3.8138800859451294,3.598968029022217,1.059714911382889,4.5,"[16, 16]","[64, 64]","[2, 2]",1.0
64,4,131072,8.356512069702148,7.386792063713074,1.131277555618864,9.0,"[32, 32]","[128, 128]","[4, 4]",1.0
64,4,1008576,65.65416717529297,60.20492744445801,1.0905115239257144,69.25341796875,"[32, 32]","[128, 128]","[4, 4]",1.0
32,4,1008576,31.593567848205566,28.50113534927368,1.1085020810937867,34.626708984375,"[16, 16]","[64, 64]","[2, 2]",1.0
16,4,1008576,15.017991781234741,14.262672424316406,1.0529577721795385,17.3133544921875,"[8, 8]","[32, 32]","[1, 1]",0.8648648648648649
8,4,1008576,10.823511838912964,9.97054386138916,1.0855487914582989,8.65667724609375,"[4, 4]","[16, 16]","[1, 1]",0.43243243243243246
4,4,1008576,10.364208221435547,9.49623966217041,1.091401290420545,4.328338623046875,"[2, 2]","[8, 8]","[1, 1]",0.21621621621621623
2,4,1008576,10.359904289245605,9.478111743927002,1.093034622205589,2.1641693115234375,"[1, 1]","[4, 4]","[1, 1]",0.10810810810810811
2,8,512,0.016543999314308167,0.01828799955546856,0.9046369048801243,0.0010986328125,"[1, 1]","[8, 8]","[1, 1]",0.21621621621621623
4,8,512,0.01849599927663803,0.018303999677300453,1.0104894887851033,0.002197265625,"[2, 2]","[16, 16]","[1, 1]",0.43243243243243246
8,8,512,0.020479999482631683,0.02232000045478344,0.9175626821388607,0.00439453125,"[4, 4]","[32, 32]","[1, 1]",0.8648648648648649
16,8,512,0.028736000880599022,0.03057599999010563,0.9398221117836856,0.0087890625,"[8, 8]","[64, 64]","[2, 2]",1.0
32,8,512,0.04713600128889084,0.049008000642061234,0.9618021684491298,0.017578125,"[16, 16]","[128, 128]","[4, 4]",1.0
64,8,512,0.08292799815535545,0.08284799754619598,1.0009656311743065,0.03515625,"[32, 32]","[256, 256]","[7, 7]",1.0
2,8,4096,0.05329599976539612,0.053119998425245285,1.0033132783390142,0.0087890625,"[1, 1]","[8, 8]","[1, 1]",0.21621621621621623
4,8,4096,0.057360000908374786,0.05515199899673462,1.0400348482703392,0.017578125,"[2, 2]","[16, 16]","[1, 1]",0.43243243243243246
8,8,4096,0.06543999910354614,0.0613120011985302,1.067327730694181,0.03515625,"[4, 4]","[32, 32]","[1, 1]",0.8648648648648649
16,8,4096,0.122895997017622,0.11859200149774551,1.0362924604148644,0.0703125,"[8, 8]","[64, 64]","[2, 2]",1.0
32,8,4096,0.2420159950852394,0.23761600255966187,1.0185172399088431,0.140625,"[16, 16]","[128, 128]","[4, 4]",1.0
64,8,4096,0.45368000864982605,0.4442560076713562,1.021212996145775,0.28125,"[32, 32]","[256, 256]","[7, 7]",1.0
2,8,32768,0.3482080101966858,0.33158400654792786,1.0501351190662902,0.0703125,"[1, 1]","[8, 8]","[1, 1]",0.21621621621621623
4,8,32768,0.34563200175762177,0.33374398946762085,1.0356201539658119,0.140625,"[2, 2]","[16, 16]","[1, 1]",0.43243243243243246
8,8,32768,0.4463199973106384,0.4315679967403412,1.034182332058262,0.28125,"[4, 4]","[32, 32]","[1, 1]",0.8648648648648649
16,8,32768,0.8963119983673096,0.8689519912004471,1.0314862126376683,0.5625,"[8, 8]","[64, 64]","[2, 2]",1.0
32,8,32768,1.8126239776611328,1.7826879918575287,1.0167926109001337,1.125,"[16, 16]","[128, 128]","[4, 4]",1.0
64,8,32768,3.396719992160797,3.286952018737793,1.0333950641193588,2.25,"[32, 32]","[256, 256]","[7, 7]",1.0
2,8,131072,1.3110800087451935,1.261504054069519,1.0392990847042831,0.28125,"[1, 1]","[8, 8]","[1, 1]",0.21621621621621623
4,8,131072,1.3363440036773682,1.2594079971313477,1.0610890249397047,0.5625,"[2, 2]","[16, 16]","[1, 1]",0.43243243243243246
